/home/daci3090/data3090/Software/environment/anaconda3/envs/geyucheng_poly/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
========================
Namespace(seed=42, epochs=2000, lr=0.0002, weight_decay=0.0, attn_lr=0.01, attn_wd=0.001, early_stopping=250, hidden=128, dropout=0.4, dprate=0.6, n_head=8, d_ffn=512, q=2.0, multi=0.5, K=10, nlayer=2, base='mono', dataset='ogbn-arxiv', device_idx=0, net='PolyFormer', runs=1, metric='acc', test=1, batch_size=10000)
----------------------------------------------------------------------------------------------------
2026-03-25 11:28:39
Number of labels for ogbn-arxiv_split_0_K_10_mono 40
cuda:0 ./pretrained/5c348440f504499c92140daecfffa6b0.pt
Epoch:0001 train loss:4.305 acc:9.65 | val loss:3.179 acc:7.70
Epoch:0002 train loss:3.268 acc:18.45 | val loss:2.791 acc:30.76
Epoch:0003 train loss:2.974 acc:24.76 | val loss:2.497 acc:32.93
Epoch:0004 train loss:2.697 acc:30.51 | val loss:2.319 acc:37.03
Epoch:0005 train loss:2.500 acc:34.62 | val loss:2.009 acc:45.49
Epoch:0006 train loss:2.327 acc:39.00 | val loss:1.876 acc:50.05
Epoch:0007 train loss:2.165 acc:43.25 | val loss:1.751 acc:53.54
Epoch:0008 train loss:2.031 acc:46.87 | val loss:1.510 acc:60.06
Epoch:0009 train loss:1.906 acc:50.06 | val loss:1.418 acc:61.56
Epoch:0010 train loss:1.805 acc:52.67 | val loss:1.363 acc:63.38
Epoch:0011 train loss:1.730 acc:54.43 | val loss:1.329 acc:64.55
Epoch:0012 train loss:1.653 acc:56.10 | val loss:1.335 acc:64.39
Epoch:0013 train loss:1.614 acc:57.04 | val loss:1.249 acc:65.62
Epoch:0014 train loss:1.571 acc:58.12 | val loss:1.265 acc:65.63
Epoch:0015 train loss:1.536 acc:58.66 | val loss:1.197 acc:66.29
Epoch:0016 train loss:1.506 acc:59.29 | val loss:1.206 acc:66.82
Epoch:0017 train loss:1.480 acc:59.79 | val loss:1.192 acc:66.93
Epoch:0018 train loss:1.452 acc:60.72 | val loss:1.148 acc:67.27
Epoch:0019 train loss:1.428 acc:60.96 | val loss:1.157 acc:67.42
Epoch:0020 train loss:1.417 acc:61.32 | val loss:1.184 acc:67.11
Epoch:0021 train loss:1.393 acc:61.82 | val loss:1.126 acc:68.02
Epoch:0022 train loss:1.376 acc:62.12 | val loss:1.111 acc:67.61
Epoch:0023 train loss:1.360 acc:62.44 | val loss:1.128 acc:67.75
Epoch:0024 train loss:1.338 acc:62.81 | val loss:1.115 acc:68.41
Epoch:0025 train loss:1.338 acc:62.97 | val loss:1.109 acc:68.46
Epoch:0026 train loss:1.318 acc:63.50 | val loss:1.078 acc:68.78
Epoch:0027 train loss:1.313 acc:63.66 | val loss:1.088 acc:68.74
Epoch:0028 train loss:1.288 acc:63.98 | val loss:1.152 acc:68.45
Epoch:0029 train loss:1.296 acc:63.84 | val loss:1.073 acc:68.60
